# Genzel et al. 2020, ApJ 902, 98 (arXiv:2006.03046) Table D1 cols 27 (fDM(Re)) and 28 (1-sigma); pdftotext -raw 2026-09-11; column assignment inferred by counting back from the instrument string, verified against Price+2021 row by row; 7 rows with names split across lines (EGS3_10098, K20_ID9, Q2343-BX389, Q2343-BX610, K20_ID7, K20_ID6, Q2346-BX482) parsed by hand the same way; GS4_32976 has no D1 row
id,z,fdm_re,err
EGS3_10098,0.658,0.15,0.143
U3_21388,0.669,0.66,0.093
EGS4_21351,0.732,0.02,0.120
EGS4_11261,0.748,0.23,0.100
GS4_13143,0.76,0.41,0.105
U3_05138,0.809,0.33,0.139
GS4_03228,0.824,0.67,0.092
COS4_01351,0.854,0.29,0.136
COS3_22796,0.914,0.80,0.168
U3_15226,0.922,0.21,0.084
GS4_05881,0.99,0.64,0.055
COS3_16954,1.031,0.58,0.076
COS3_04796,1.032,0.35,0.132
EGS_13035123,1.12,0.20,0.100
EGS_13004291,1.197,0.02,0.083
EGS_13003805,1.232,0.02,0.104
EGS4_38153,1.362,0.33,0.122
EGS4_24985,1.4,0.30,0.083
zC_403741,1.446,0.12,0.077
D3a_6397,1.5,0.22,0.113
EGS_13011166,1.53,0.19,0.074
GS4_43501,1.614,0.19,0.122
GS4_14152,1.615,0.08,0.133
K20_ID9,2.036,0.42,0.144
zC_405501,2.154,0.15,0.162
SSA22_MD41,2.172,0.90,0.124
BX389,2.18,0.40,0.132
zC_407302,2.182,0.14,0.066
GS3_24273,2.187,0.25,0.112
zC_406690,2.196,0.02,0.059
BX610,2.21,0.29,0.134
K20_ID7,2.225,0.57,0.108
K20_ID6,2.236,0.30,0.147
zC_400569,2.242,0.05,0.097
BX482,2.258,0.57,0.136
COS4_02672,2.308,0.25,0.189
D3a_15504,2.383,0.08,0.080
D3a_6004,2.387,0.05,0.112
GS4_37124,2.431,0.25,0.069
GS4_42930,2.451,0.11,0.118
