# Price et al. 2021 Table 1 (SED stellar mass, gas mass, Chabrier IMF); pdftotext -raw 2026-09-11
id,z,logMstar,SFR,logMgas,BT,Re_disk
EGS3_10098,0.658,11.11,52.0,10.50,0.60,3.0
U3_21388,0.669,10.76,4.8,10.01,0.05,7.0
EGS4_21351,0.732,10.94,79.5,10.60,0.46,3.3
EGS4_11261,0.748,11.25,85.0,10.76,0.50,4.0
GS4_13143,0.760,9.82,12.0,9.82,0.70,5.6
U3_05138,0.809,10.20,6.0,9.88,0.50,7.5
GS4_03228,0.824,9.49,10.1,9.69,0.80,7.0
GS4_32976,0.831,10.37,22.0,10.19,0.90,6.8
COS4_01351,0.854,10.73,57.0,10.58,0.24,8.0
COS3_22796,0.914,10.32,11.1,10.10,0.15,9.0
U3_15226,0.922,11.11,31.0,10.54,0.55,5.5
GS4_05881,0.990,9.78,19.0,9.92,0.85,5.6
COS3_16954,1.031,10.74,100.0,10.72,0.50,8.1
COS3_04796,1.032,10.80,51.0,10.63,0.18,9.7
EGS_13035123,1.120,11.18,126.0,10.95,0.20,10.2
EGS_13004291,1.197,10.97,630.0,11.54,0.61,3.0
EGS_13003805,1.232,11.23,200.0,11.32,0.29,5.6
EGS4_38153,1.362,10.44,78.0,10.55,0.16,5.9
EGS4_24985,1.400,10.90,99.0,10.70,0.40,4.6
zC_403741,1.446,10.65,60.0,10.45,0.68,2.6
D3a_6397,1.500,11.08,214.0,11.00,0.57,6.3
EGS_13011166,1.530,11.08,375.0,11.41,0.55,6.3
GS4_43501,1.614,10.61,53.0,10.51,0.40,4.9
GS4_14152,1.615,11.30,167.0,11.07,0.23,6.8
K20_ID9,2.036,10.65,81.0,10.66,0.30,7.1
zC_405501,2.154,9.92,60.0,10.27,0.07,5.0
SSA22_MD41,2.172,9.86,130.0,10.46,0.05,7.1
BX389,2.180,10.60,100.0,10.68,0.30,7.4
zC_407302,2.182,10.39,340.0,10.60,0.50,4.0
GS3_24273,2.187,11.00,267.0,11.03,0.80,7.0
zC_406690,2.196,10.62,300.0,10.91,0.90,4.5
BX610,2.210,11.00,60.0,11.36,0.42,4.9
K20_ID7,2.225,10.28,101.0,10.59,0.03,8.2
K20_ID6,2.236,10.43,99.0,10.57,0.30,5.0
zC_400569,2.242,11.08,240.0,11.30,0.70,4.0
BX482,2.258,10.26,80.0,10.91,0.02,5.8
COS4_02672,2.308,10.57,72.0,10.61,0.10,7.4
D3a_15504,2.383,11.04,146.0,10.92,0.30,6.1
D3a_6004,2.387,11.50,355.0,11.27,0.44,5.3
GS4_37124,2.431,10.59,194.0,10.70,0.70,3.2
GS4_42930,2.451,10.33,70.0,10.37,0.50,2.8
