# Price et al. 2021, ApJ 922, 143 (arXiv:2109.02659) Table 3, 1D MCMC fitting; extracted with pdftotext -raw 2026-09-11
id,z,fdm_re,err_plus,err_minus
EGS3_10098,0.658,0.22,0.13,0.22
U3_21388,0.669,0.69,0.13,0.09
EGS4_21351,0.732,0.11,0.13,0.11
EGS4_11261,0.748,0.24,0.11,0.14
GS4_13143,0.76,0.48,0.13,0.13
U3_05138,0.809,0.45,0.21,0.16
GS4_03228,0.824,0.75,0.11,0.12
GS4_32976,0.831,0.62,0.08,0.10
COS4_01351,0.854,0.53,0.11,0.09
COS3_22796,0.914,0.58,0.20,0.18
U3_15226,0.922,0.42,0.10,0.16
GS4_05881,0.99,0.76,0.12,0.07
COS3_16954,1.031,0.63,0.12,0.10
COS3_04796,1.032,0.49,0.12,0.16
EGS_13035123,1.12,0.28,0.15,0.16
EGS_13004291,1.197,0.08,0.16,0.08
EGS_13003805,1.232,0.18,0.09,0.17
EGS4_38153,1.362,0.47,0.20,0.15
EGS4_24985,1.4,0.35,0.17,0.16
zC_403741,1.446,0.05,0.18,0.05
D3a_6397,1.5,0.38,0.14,0.17
EGS_13011166,1.53,0.34,0.12,0.10
GS4_43501,1.614,0.38,0.12,0.10
GS4_14152,1.615,0.30,0.13,0.15
K20_ID9,2.036,0.46,0.17,0.17
zC_405501,2.154,0.52,0.21,0.21
SSA22_MD41,2.172,0.71,0.15,0.14
BX389,2.18,0.59,0.14,0.15
zC_407302,2.182,0.61,0.10,0.09
GS3_24273,2.187,0.25,0.15,0.10
zC_406690,2.196,0.06,0.12,0.06
BX610,2.21,0.45,0.16,0.13
K20_ID7,2.225,0.76,0.16,0.10
K20_ID6,2.236,0.13,0.20,0.13
zC_400569,2.242,0.29,0.12,0.18
BX482,2.258,0.61,0.17,0.16
COS4_02672,2.308,0.43,0.20,0.21
D3a_15504,2.383,0.24,0.13,0.10
D3a_6004,2.387,0.12,0.17,0.12
GS4_37124,2.431,0.43,0.11,0.15
GS4_42930,2.451,0.43,0.16,0.18
