PLUMMER mass model: Newton +0.021  MOND+EFE -0.023
    rho_c       L2       L3  #g<0  min g/gs  nan
    0.002   -0.012o   -0.449E    18    -41.31    0
 0.003163   -0.022o   -0.491E    20    -34.21    0
 0.005003   -0.035m   -0.516E    24    -28.29    0
 0.007912   -0.050E   -0.522E    25    -23.38    0
  0.01251   -0.068E   -0.558E    27    -19.28    0
  0.01979   -0.089E   -0.556E    28    -15.88    0
   0.0313   -0.112E   -0.532E    34    -13.04    0
   0.0495   -0.136E   -0.452E    36    -10.67    0
  0.07828   -0.161E   -0.490E    39     -9.11    1
   0.1238   -0.185E   -0.378E    38     -9.06    2
   0.1958   -0.208E   -0.276E    38     -7.38    1
   0.3097   -0.228E   -0.330E    36     -5.97    1
   0.4898   -0.244E   -0.146E    34     -4.79    1
   0.7746   -0.255E   -0.064E    33     -3.81    1
    1.225   -0.260E   +0.090E    33     -2.99    0
    1.937   -0.258E   +0.143E    31     -2.31    0
    3.064   -0.251E   +0.207E    23     -1.75    0
    4.846   -0.239E   +0.122E    15     -1.28    0
    7.664   -0.222E   +0.013o     6     -0.88    0
    12.12   -0.202E   -0.051E     3     -0.56    0
    19.17   -0.180E   -0.082E     2     -0.28    0
    30.32   -0.157E   -0.094E     1     -0.06    0
    47.95   -0.134E   -0.090E     0      0.13    0
    75.84   -0.111E   -0.079E     0      0.29    0
    119.9   -0.090E   -0.065E     0      0.42    0
    189.7   -0.070E   -0.051E     0      0.52    0
      300   -0.052E   -0.038m     0      0.61    0
