built 153 galaxies in 72s

====================================================================================================================================
C KEYED ON |grad Phi_N| (= AQUAL with mu = C), SPARC 153 discs, floor scanned
====================================================================================================================================
model                                        |   Ups=0.5 fixed   |   Ups profiled    |  x MOND |     boost     
                                             |   chi2/N     rmsV |   chi2/N     rmsV |         | medBmax  need>
Newton (C=1)                                 |   635.97    0.247 |   465.43    0.205 |   21.91 |
MOND simple mu (no floor, AQUAL-equivalent arg) |    52.21    0.068 |    21.25    0.053 |    1.00 |
------------------------------------------------------------------------------------------------------------------------------------
gN  gamma=0.489 g_c=0.1  a0 floor=0.315      |   304.81    0.140 |   193.88    0.112 |    9.13 |    2.19    99%
gN  gamma=0.489 g_c=0.32 a0 floor=0.315      |   154.78    0.103 |    84.13    0.081 |    3.96 |    2.73    94%
gN  gamma=0.489 g_c=1    a0 floor=0.315      |   100.32    0.089 |    56.35    0.068 |    2.65 |    3.01    85%
gN  gamma=0.489 g_c=3.2  a0 floor=0.315      |   166.82    0.104 |    88.69    0.075 |    4.17 |    3.12    80%
gN  gamma=2     g_c=0.1  a0 floor=0.315      |   576.61    0.222 |   418.20    0.180 |   19.68 |    1.28   100%
gN  gamma=2     g_c=0.32 a0 floor=0.315      |   435.97    0.171 |   302.16    0.145 |   14.22 |    1.92   100%
gN  gamma=2     g_c=1    a0 floor=0.315      |   239.88    0.121 |   143.89    0.093 |    6.77 |    2.59    99%
gN  gamma=2     g_c=3.2  a0 floor=0.315      |   105.39    0.091 |    55.42    0.067 |    2.61 |    2.96    90%
------------------------------------------------------------------------------------------------------------------------------------
gN  gamma=0.489 g_c=0.1  a0 floor=0.089      |   166.92    0.094 |    92.70    0.073 |    4.36 |    3.61    86%
gN  gamma=0.489 g_c=0.32 a0 floor=0.089      |    67.60    0.073 |    31.27    0.058 |    1.47 |    6.35    28%
gN  gamma=0.489 g_c=1    a0 floor=0.089      |   464.89    0.150 |   220.85    0.108 |   10.39 |    8.93    12%
gN  gamma=0.489 g_c=3.2  a0 floor=0.089      |  1646.74    0.215 |   911.85    0.166 |   42.92 |   10.38     8%
gN  gamma=2     g_c=0.1  a0 floor=0.089      |   551.99    0.210 |   399.24    0.174 |   18.79 |    1.42   100%
gN  gamma=2     g_c=0.32 a0 floor=0.089      |   345.69    0.143 |   234.19    0.114 |   11.02 |    2.76    97%
gN  gamma=2     g_c=1    a0 floor=0.089      |   111.61    0.076 |    64.03    0.065 |    3.01 |    5.45    49%
gN  gamma=2     g_c=3.2  a0 floor=0.089      |   249.31    0.121 |   130.61    0.092 |    6.15 |    8.41    14%
------------------------------------------------------------------------------------------------------------------------------------
gN  gamma=0.489 g_c=0.1  a0 floor=0.02       |   136.58    0.084 |    74.93    0.065 |    3.53 |    4.50    65%
gN  gamma=0.489 g_c=0.32 a0 floor=0.02       |   287.27    0.123 |   216.61    0.109 |   10.20 |   10.65     7%
gN  gamma=0.489 g_c=1    a0 floor=0.02       |  2102.19    0.268 |  1639.51    0.239 |   77.17 |   22.26     1%
gN  gamma=0.489 g_c=3.2  a0 floor=0.02       |  7639.26    0.403 |  6004.11    0.367 |  282.60 |   35.85     1%
gN  gamma=2     g_c=0.1  a0 floor=0.02       |   543.69    0.207 |   392.79    0.173 |   18.49 |    1.46   100%
gN  gamma=2     g_c=0.32 a0 floor=0.02       |   318.34    0.131 |   214.02    0.105 |   10.07 |    3.20    84%
gN  gamma=2     g_c=1    a0 floor=0.02       |   183.70    0.100 |   133.46    0.092 |    6.28 |    8.21    18%
gN  gamma=2     g_c=3.2  a0 floor=0.02       |  1284.03    0.223 |  1033.61    0.202 |   48.65 |   19.07     2%
